symbol,security_id,segment
ENKEIWHEL,764678,NSE_EQ
ENRIN,756871,NSE_EQ
ENTERO,22717,NSE_EQ
EPACK,22463,NSE_EQ
EPACKPEB,759251,NSE_EQ
EPIGRAL,5382,NSE_EQ
EPL,981,NSE_EQ
EQUITASBNK,913,NSE_EQ
ERIS,21154,NSE_EQ
ESABINDIA,955,NSE_EQ
ESCORTS,958,NSE_EQ
ESSARSHPNG,25634,NSE_EQ
ESSENTIA,30323,NSE_EQ
ESTER,24265,NSE_EQ
ETERNAL,5097,NSE_EQ
ETHOSLTD,9750,NSE_EQ
EUREKAFORB,25162,NSE_EQ
EUROBOND,757953,NSE_EQ
EUROPRATIK,759797,NSE_EQ
EVEREADY,11782,NSE_EQ
EXCELINDUS,11471,NSE_EQ
EXCELSOFT,760007,NSE_EQ
EXICOM,22947,NSE_EQ
EXIDEIND,676,NSE_EQ
EXPLEOSOL,17486,NSE_EQ
EXXARO,5352,NSE_EQ
FABTECH,760125,NSE_EQ
FACT,1008,NSE_EQ
FAZE3Q,12000,NSE_EQ
FCL,6198,NSE_EQ
FCSSOFT,11999,NSE_EQ
FDC,4898,NSE_EQ
FEDDERSHOL,762675,NSE_EQ
FEDERALBNK,1023,NSE_EQ
FEDFINA,20322,NSE_EQ
FERMENTA,762680,NSE_EQ
FIBERWEB,8159,NSE_EQ
FIEMIND,13710,NSE_EQ
FILATEX,24532,NSE_EQ
FILATFASH,23647,NSE_EQ
FINCABLES,1038,NSE_EQ
FINEORG,3744,NSE_EQ
FINKURVE,759239,NSE_EQ
FINOPB,6579,NSE_EQ
FINPIPE,1041,NSE_EQ
FIRSTCRY,24814,NSE_EQ
FISCHER,757658,NSE_EQ
FIVESTAR,12032,NSE_EQ
FLAIR,20372,NSE_EQ
FLUOROCHEM,13750,NSE_EQ
FMGOETZE,1190,NSE_EQ
FMNL,21017,NSE_EQ
FOODSIN,6673,NSE_EQ
FORCEMOT,11573,NSE_EQ
FORTIS,14592,NSE_EQ
FOSECOIND,1073,NSE_EQ
FRACTAL,760961,NSE_EQ
FREDUN,764683,NSE_EQ
FRONTSP,762685,NSE_EQ
FSL,14304,NSE_EQ
FUSION,11932,NSE_EQ
GABRIEL,1085,NSE_EQ
GAEL,8828,NSE_EQ
GAIL,4717,NSE_EQ
GAJA,765396,NSE_EQ
GALAPREC,25134,NSE_EQ
GALAXYSURF,1315,NSE_EQ
GALLANTT,13337,NSE_EQ
GANDHAR,20303,NSE_EQ
GANDHITUBE,14116,NSE_EQ
GANECOS,6944,NSE_EQ
GANESHCP,759012,NSE_EQ
GANESHHOU,14339,NSE_EQ
GANGAFORGE,4957,NSE_EQ
GANGESSECU,21399,NSE_EQ
GARFIBRES,1100,NSE_EQ
GARUDA,25800,NSE_EQ
GATEWAY,8510,NSE_EQ
GAYAHWS,3693,NSE_EQ
GCSL,758986,NSE_EQ
GEEKAYWIRE,17922,NSE_EQ
GEMAROMA,759461,NSE_EQ
GENCON,2188,NSE_EQ
GENESYS,10905,NSE_EQ
GENUSPAPER,6600,NSE_EQ
GENUSPOWER,11905,NSE_EQ
GEOJITFSL,11896,NSE_EQ
GESHIP,13776,NSE_EQ
GFLLIMITED,1289,NSE_EQ
GHCL,1127,NSE_EQ
GHCLTEXTIL,16696,NSE_EQ
GICHSGFIN,1139,NSE_EQ
GICRE,277,NSE_EQ
GILLANDERS,17839,NSE_EQ
GILLETTE,1576,NSE_EQ
GIPCL,1145,NSE_EQ
GKB,764688,NSE_EQ
GKENERGY,759048,NSE_EQ
GKSL,761197,NSE_EQ
GKWLIMITED,17357,NSE_EQ
GLAND,1186,NSE_EQ
GLAXO,1153,NSE_EQ
GLENMARK,7406,NSE_EQ
GLFL,1156,NSE_EQ
GLOBAL,1415,NSE_EQ
GLOBALE,24932,NSE_EQ
GLOBALVECT,13735,NSE_EQ
GLOBE,393,NSE_EQ
GLOBECIVIL,758572,NSE_EQ
GLOBUSSPR,17424,NSE_EQ
GLOSTERLTD,23590,NSE_EQ
GLOTTIS,760116,NSE_EQ
GMBREW,1168,NSE_EQ
GMDCLTD,5204,NSE_EQ
GMMPFAUDLR,1570,NSE_EQ
GMRAIRPORT,13528,NSE_EQ
GMRP&UI,8529,NSE_EQ
GNA,18571,NSE_EQ
GNFC,1174,NSE_EQ
GNRL,762690,NSE_EQ
GOACARBON,14687,NSE_EQ
GOCLCORP,3963,NSE_EQ
GOCOLORS,6964,NSE_EQ
GODAVARIB,25941,NSE_EQ
GODFRYPHLP,1181,NSE_EQ
GODIGIT,23799,NSE_EQ
GODREJAGRO,144,NSE_EQ
GODREJCP,10099,NSE_EQ
GODREJIND,10925,NSE_EQ
GODREJPROP,17875,NSE_EQ
GOKEX,11778,NSE_EQ
GOKUL,16705,NSE_EQ
GOKULAGRO,14480,NSE_EQ
GOLDIAM,11971,NSE_EQ
GOODLUCK,6125,NSE_EQ
GOODYEAR,1205,NSE_EQ
GOPAL,23066,NSE_EQ
GOYALALUM,11787,NSE_EQ
GPIL,13409,NSE_EQ
GPPL,19731,NSE_EQ
GPTHEALTH,22846,NSE_EQ
GPTINFRA,17685,NSE_EQ
GRANDOAK,762695,NSE_EQ
GRANULES,11872,NSE_EQ
GRAPHITE,592,NSE_EQ
GRASIM,1232,NSE_EQ
GRAUWEIL,5200,NSE_EQ
GRAVITA,20534,NSE_EQ
GREAVESCOT,1235,NSE_EQ
GREENLAM,6848,NSE_EQ
GREENPANEL,13810,NSE_EQ
GREENPLY,3987,NSE_EQ
GREENPOWER,20110,NSE_EQ
GRINDWELL,13560,NSE_EQ
GRINFRA,5054,NSE_EQ
GRMOVER,10871,NSE_EQ
GROBTEA,17770,NSE_EQ
GROWW,759806,NSE_EQ
GRPLTD,6543,NSE_EQ
GRSE,5475,NSE_EQ
GRWRHITECH,7982,NSE_EQ
GSFC,1247,NSE_EQ
GSLSU,14599,NSE_EQ
GSPCROP,762239,NSE_EQ
GSS,15347,NSE_EQ
GTL,1162,NSE_EQ
GTLINFRA,13745,NSE_EQ
GTPL,21195,NSE_EQ
GUFICBIO,11606,NSE_EQ
GUJALKALI,1267,NSE_EQ
GUJAPOLLO,14677,NSE_EQ
GUJENERGY,10599,NSE_EQ
GUJRAFFIA,4548,NSE_EQ
GUJTHEM,29731,NSE_EQ
GULFOILLUB,4391,NSE_EQ
GULPOLY,6286,NSE_EQ
GVPIL,7862,NSE_EQ
GVT&D,16783,NSE_EQ
GYFTR,764050,NSE_EQ
